Date,Close,High,Low,Open,Volume,RSI_14,Microsoft stock,sell Microsoft stock,buy Microsoft stock
2015-12-21,49.56995391845703,50.0453158568594,48.39914717242638,49.1738161713754,81452700,74.46953743505745,19,0,21
2015-12-28,47.5804557800293,49.46430680252183,46.99945496600734,49.332263147300274,154710700,63.15243248903413,27,0,29
2016-01-04,45.45893859863281,47.59807949664352,45.159634837155295,46.39206288043832,245241800,53.768731191122825,28,0,36
2016-01-11,44.7106819152832,47.02588113788629,43.22296464354229,45.77584992490026,231040100,50.89624112443516,23,0,27
2016-01-18,45.08920669555664,46.34804265412976,44.27932464533882,44.89553859174667,178130700,52.28495408307691,33,0,28
2016-01-25,45.916690826416016,48.49598374297334,45.11561372196927,45.652600100638274,304207600,55.26353533382469,29,0,38
2016-02-01,43.75994873046875,46.48889549613869,42.42188509484089,45.863876565573776,253264100,47.024093983286406,27,0,23
2016-02-08,46.14556121826172,46.45366981439607,42.70357068746007,42.853224201718525,161202100,55.01370595799528,22,0,32
2016-02-15,45.53707504272461,46.99113996462789,44.50858985048519,46.39710264891178,147653200,52.825315105250674,24,0,36
2016-02-22,46.9468002319336,46.9556649948592,44.87209734008534,45.8651165158655,156883800,57.08459010656704,22,0,25
2016-02-29,46.84927749633789,46.96453972376717,44.84550595581904,46.96453972376717,157956500,56.70318175282863,22,0,20
2016-03-07,48.18808364868164,48.40973997343585,45.35975016241253,46.92907734753716,147543600,60.59554323520292,21,0,33
2016-03-14,47.851165771484375,48.76438869566053,46.92907470078222,48.06395393721139,163028200,59.15430887333996,18,0,32
2016-03-21,48.80872344970703,49.33183252658347,47.28373019107976,47.73590761851869,83907700,61.9260188558005,22,0,25
2016-03-28,48.87076950073242,49.34954781684838,48.06394087862856,48.72004487281036,110149500,62.105455901209794,21,0,33
2016-04-04,49.07469940185547,49.15449579853354,47.66496531534709,48.64911974697454,108568800,62.7272219848482,21,0,24
2016-04-11,49.28749465942383,50.33371265870121,48.8264491527756,48.95944428473042,139249400,63.40201905459479,30,0,22
2016-04-18,45.1646728515625,49.8549195570068,44.81888966898218,49.47367056539113,275872000,46.01868916477543,29,0,0
2016-04-25,44.21599197387695,45.01395590203128,43.75494652452182,44.88096078660346,175378800,43.09098891237216,23,0,35
2016-05-02,45.26221084594727,45.909446765476105,44.02980249354259,44.21599295350164,115059700,47.08884104691791,22,0,19
2016-05-09,45.0494270324707,46.06904396963179,44.59724629242853,45.39521031473432,119438100,46.37527705393196,20,0,18
2016-05-16,46.53411483764648,46.86446308500916,44.4806146301014,45.06095320012755,132665000,51.85713858772896,20,0,27
2016-05-23,47.18589019775391,47.3198155664194,45.85558030892498,46.3644912604721,105034500,54.07658496471623,16,0,0
2016-05-30,46.46269226074219,47.08767149707106,46.069846417748856,46.998386802816746,106468600,51.25315336076876,17,0,0
2016-06-06,44.36455154418945,46.47162281840725,43.80207325088284,46.42698217056971,205691400,44.06490649314156,53,0,57
2016-06-13,45.52521514892578,45.94484119959307,44.203829209964574,44.21275938036764,175421600,48.37804384732009,28,0,36
2016-06-20,45.123443603515625,46.48054003586145,42.891377775156464,45.78413318142712,282192800,47.02626120777119,22,0,24
2016-06-27,45.8734245300293,46.17698566307135,44.98952483486304,45.28415920187268,102902100,49.843609639139686,15,0,0
2016-07-04,47.775146484375,48.08763781576484,45.59665096074899,45.90913888627587,122919800,56.20415469540657,20,0,25
2016-07-11,49.91792678833008,50.74825566104672,47.25730437043366,48.0697763054092,231233600,62.04472797079673,36,0,37
2016-07-18,50.16791915893555,51.15003033972943,49.78400349644037,49.980426413771696,150951000,62.67020584495324,22,0,22
2016-07-25,50.86433410644531,50.98932928947488,49.74830082101945,49.998291187078586,151310100,64.42879516378846,22,0,31
2016-08-01,51.80179977416992,52.23035613374321,50.59648181987332,50.71255023159,108074000,66.70278597119132,17,0,0
2016-08-08,51.391090393066406,52.230346008806805,51.09645603717707,51.81071649800534,98481300,64.7498289357867,15,0,21
2016-08-15,52.0617790222168,52.26840861989537,51.38798551483804,51.58562927991393,83591100,66.47596869889892,18,0,0
2016-08-22,51.62156677246094,52.73557356784627,51.47782429180712,51.99889292610911,93731500,64.25200706915308,18,0,0
2016-08-29,51.80123519897461,52.27738142676131,51.21727956229667,51.21727956229667,78747700,64.77005377910584,18,0,0
2016-09-05,50.54349136352539,51.91803233762485,49.95953909403437,51.77428987144806,138755700,58.39084080129936,20,0,21
2016-09-12,51.891075134277344,51.97193048081037,50.29193986628026,50.4446681551051,143482400,62.636882087348965,22,0,36
2016-09-19,52.13364028930664,52.16059435575399,50.9208135389802,52.03481670887744,110067700,63.36163289426065,20,0,40
2016-09-26,51.78326797485352,52.25941421193353,51.181347518702594,51.93599626021851,111376100,61.5057632804674,19,0,25
2016-10-03,51.30712890625,52.45706870081067,50.66927189064781,51.873116398237606,103173000,58.97764579449888,18,0,18
2016-10-10,51.68444442749024,52.06177051203071,50.59739190244749,50.93878151663354,118574100,60.367868589863775,35,0,36
2016-10-17,54.4694709777832,55.134278687730834,50.90285606003132,51.65750496530375,248603600,68.77847469287431,39,0,42
