Date,Close,High,Low,Open,Volume,RSI_14,Google stock,sell Google stock,buy Google stock
2017-10-16,48.43707656860352,49.31641072410581,47.79959689333322,49.06758927363432,127974000,62.07196925601431,64,59,56
2017-10-23,51.03328704833984,52.17238871562505,48.38084916128189,48.769010062468034,239980000,70.56832925680357,63,69,71
2017-10-30,51.74739837646485,51.93013422617837,50.41172574563853,50.84716329253122,109032000,72.3997824500368,62,56,66
2017-11-06,50.80486297607422,51.45577922068416,50.46845513054242,51.45577922068416,93284000,66.51641251161942,58,98,59
2017-11-13,51.55381774902344,51.74023262350432,50.63516855831649,50.88498476457514,106472000,68.69345377050055,47,55,48
2017-11-20,50.84218597412109,52.86834042854535,50.54310361645364,51.54933536811705,114574000,64.40835065640272,71,58,85
2017-11-27,50.678958892822266,51.182076679439504,49.1810564230232,50.87751945249527,177586000,63.43095868602863,66,89,81
2017-12-04,51.78522109985352,52.26793536480295,50.663584350646666,50.78097875895433,130080000,67.07741534628903,60,73,71
2017-12-11,52.99648666381836,53.67029335688907,51.90963161949108,52.00368762417602,179930000,70.54111170162345,56,35,75
2017-12-18,52.22115707397461,53.21445350687925,52.15547011737464,52.996487927349314,75666000,65.77116940899128,42,72,68
2017-12-25,53.86885070800781,54.05845101808457,51.99223742628708,52.33213066508323,87848000,70.35836967015082,57,89,62
2018-01-01,54.87060928344727,55.30156673529316,53.94459445147277,54.14355367328164,105532000,72.74949065538581,64,64,78
2018-01-08,56.33218383789063,56.7268143198363,54.7203191653278,55.05423638927085,109534000,75.81490916286327,61,56,66
2018-01-15,57.93758392333984,58.71490044044776,55.611599010270496,56.30381976850133,146882000,78.6551504751854,63,66,71
2018-01-22,58.22124099731445,59.06474564663519,57.63252625831621,58.35012806123705,159464000,79.1216999156521,79,66,73
2018-01-29,52.18184661865234,58.42328456396731,50.91569169116612,57.8564692599844,337710000,52.7065281067117,100,100,100
2018-02-05,53.23286437988281,53.33338618548109,49.394044602636896,52.5217322136882,224872000,55.49138726948305,67,32,56
2018-02-12,55.3050537109375,56.43121996544017,52.96612953537862,53.69915739830772,129178000,60.437761363639794,54,61,48
2018-02-19,54.97610855102539,56.93234283567388,54.86961451043471,55.54640921568673,155880000,59.310936470391546,61,35,54
2018-02-26,55.22045135498047,55.348844847283,52.15870489424755,55.13237137662856,176300000,59.90887568269776,59,39,56
2018-03-05,57.203556060791016,58.57506213589424,55.37770478382349,55.50311025577571,177080000,64.47217295579313,57,36,43
2018-03-12,54.28687286376953,57.78032849956446,53.91762340460933,57.226949782053616,220082000,54.624256368801866,73,54,60
2018-03-19,49.99121856689453,53.8897530790075,48.80085753468074,53.83899480646802,279068000,43.97137981516087,68,58,55
2018-03-26,51.01536560058594,51.90415739309394,49.2850624965375,50.343051057200846,203340000,46.64309206864864,64,45,50
2018-04-02,50.758087158203125,51.893707179365705,49.915079906530295,51.82105325492097,166388000,46.049037848848215,58,51,39
2018-04-09,53.35130310058594,53.63993690995318,50.83099103919181,51.010389583381794,149112000,52.60174916964908,52,54,42
